match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,is_historical_entity,has_halftime_data,went_to_extra_time,went_to_penalties,is_walkover,total_goals_match,goal_difference,is_draw,team1_result,team2_result,tournament_stage_order
100,1954,Switzerland,1954-06-30,Semi-final,Semi-finals,,Hungary,Uruguay,,,2,2,4,2,,,Hungary,Extra Time,Stade Olympique de la Pontaise,Lausanne,False,False,True,False,False,4,0,False,Win,Loss,5
101,1954,Switzerland,1954-07-03,Third-place match,Third-place match,,Uruguay,Austria,,,1,3,,,,,Austria,Normal Time,Hardturm Stadium,Zürich,False,False,False,False,False,4,2,False,Loss,Win,6
102,1954,Switzerland,1954-07-04,Final,Final,,Hungary,West Germany,,,2,3,,,,,West Germany,Normal Time,Wankdorf Stadium,Bern,True,False,False,False,False,5,1,False,Loss,Win,7
103,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 1,West Germany,Argentina,,,3,1,,,,,West Germany,Normal Time,Malmö Stadion,Malmö,True,False,False,False,False,4,2,False,Win,Loss,1
104,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 1,Northern Ireland,Czechoslovakia,,,1,0,,,,,Northern Ireland,Normal Time,Örjans Vall,Halmstad,True,False,False,False,False,1,1,False,Win,Loss,1
105,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 1,Argentina,Northern Ireland,,,3,1,,,,,Argentina,Normal Time,Örjans Vall,Halmstad,False,False,False,False,False,4,2,False,Win,Loss,1
106,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 1,West Germany,Czechoslovakia,,,2,2,,,,,Draw,Draw,Olympiastadion,Helsingborg,True,False,False,False,False,4,0,True,Draw,Draw,1
107,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 1,West Germany,Northern Ireland,,,2,2,,,,,Draw,Draw,Malmö Stadion,Malmö,True,False,False,False,False,4,0,True,Draw,Draw,1
108,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 1,Czechoslovakia,Argentina,,,6,1,,,,,Czechoslovakia,Normal Time,Olympiastadion,Helsingborg,True,False,False,False,False,7,5,False,Win,Loss,1
109,1958,Sweden,1958-06-17,Group Stage,Group 1 Play-off,,Northern Ireland,Czechoslovakia,,,1,1,2,1,,,Northern Ireland,Extra Time,Malmö Stadion,Malmö,True,False,True,False,False,2,0,False,Win,Loss,1
110,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 2,France,Paraguay,,,7,3,,,,,France,Normal Time,Idrottsparken,Norrköping,False,False,False,False,False,10,4,False,Win,Loss,1
111,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 2,Yugoslavia,Scotland,,,1,1,,,,,Draw,Draw,Arosvallen,Västerås,True,False,False,False,False,2,0,True,Draw,Draw,1
112,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 2,Yugoslavia,France,,,3,2,,,,,Yugoslavia,Normal Time,Arosvallen,Västerås,True,False,False,False,False,5,1,False,Win,Loss,1
113,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 2,Paraguay,Scotland,,,3,2,,,,,Paraguay,Normal Time,Idrottsparken,Norrköping,False,False,False,False,False,5,1,False,Win,Loss,1
114,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 2,France,Scotland,,,2,1,,,,,France,Normal Time,Eyravallen,Örebro,False,False,False,False,False,3,1,False,Win,Loss,1
115,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 2,Paraguay,Yugoslavia,,,3,3,,,,,Draw,Draw,Tunavallen,Eskilstuna,True,False,False,False,False,6,0,True,Draw,Draw,1
116,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 3,Sweden,Mexico,,,3,0,,,,,Sweden,Normal Time,Råsunda Stadium,Solna,False,False,False,False,False,3,3,False,Win,Loss,1
117,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 3,Hungary,Wales,,,1,1,,,,,Draw,Draw,Jernvallen,Sandviken,False,False,False,False,False,2,0,True,Draw,Draw,1
118,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 3,Mexico,Wales,,,1,1,,,,,Draw,Draw,Råsunda Stadium,Solna,False,False,False,False,False,2,0,True,Draw,Draw,1
119,1958,Sweden,1958-06-12,Group Stage,Matchday 2,Group 3,Sweden,Hungary,,,2,1,,,,,Sweden,Normal Time,Råsunda Stadium,Solna,False,False,False,False,False,3,1,False,Win,Loss,1
120,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 3,Sweden,Wales,,,0,0,,,,,Draw,Draw,Råsunda Stadium,Solna,False,False,False,False,False,0,0,True,Draw,Draw,1
121,1958,Sweden,1958-06-15,Group Stage,Matchday 3,Group 3,Hungary,Mexico,,,4,0,,,,,Hungary,Normal Time,Jernvallen,Sandviken,False,False,False,False,False,4,4,False,Win,Loss,1
122,1958,Sweden,1958-06-17,Group Stage,Group 3 Play-off,,Wales,Hungary,,,2,1,,,,,Wales,Normal Time,Råsunda Stadium,Solna,False,False,False,False,False,3,1,False,Win,Loss,1
123,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 4,Brazil,Austria,,,3,0,,,,,Brazil,Normal Time,Rimnersvallen,Uddevalla,False,False,False,False,False,3,3,False,Win,Loss,1
124,1958,Sweden,1958-06-08,Group Stage,Matchday 1,Group 4,Soviet Union,England,,,2,2,,,,,Draw,Draw,Ullevi,Gothenburg,True,False,False,False,False,4,0,True,Draw,Draw,1
125,1958,Sweden,1958-06-11,Group Stage,Matchday 2,Group 4,Brazil,England,,,0,0,,,,,Draw,Draw,Ullevi,Gothenburg,False,False,False,False,False,0,0,True,Draw,Draw,1
