match_id,world_cup_year,host_country,date,stage,tournament_stage_order,group,result_method,is_walkover,went_to_extra_time,went_to_penalties,has_halftime_data,team,opponent,goals_for,goals_against,result,is_historical_entity
88,1954,Switzerland,1954-06-19,Group Stage,1,Group 3,Normal Time,False,False,False,False,Czechoslovakia,Austria,0,5,Loss,True
89,1954,Switzerland,1954-06-19,Group Stage,1,Group 3,Normal Time,False,False,False,False,Scotland,Uruguay,0,7,Loss,False
89,1954,Switzerland,1954-06-19,Group Stage,1,Group 3,Normal Time,False,False,False,False,Uruguay,Scotland,7,0,Win,False
90,1954,Switzerland,1954-06-17,Group Stage,1,Group 4,Draw (after Extra Time),False,True,False,False,Belgium,England,3,3,Draw,False
90,1954,Switzerland,1954-06-17,Group Stage,1,Group 4,Draw (after Extra Time),False,True,False,False,England,Belgium,3,3,Draw,False
91,1954,Switzerland,1954-06-17,Group Stage,1,Group 4,Normal Time,False,False,False,False,Italy,Switzerland,1,2,Loss,False
91,1954,Switzerland,1954-06-17,Group Stage,1,Group 4,Normal Time,False,False,False,False,Switzerland,Italy,2,1,Win,False
92,1954,Switzerland,1954-06-20,Group Stage,1,Group 4,Normal Time,False,False,False,False,England,Switzerland,2,0,Win,False
92,1954,Switzerland,1954-06-20,Group Stage,1,Group 4,Normal Time,False,False,False,False,Switzerland,England,0,2,Loss,False
93,1954,Switzerland,1954-06-20,Group Stage,1,Group 4,Normal Time,False,False,False,False,Belgium,Italy,1,4,Loss,False
93,1954,Switzerland,1954-06-20,Group Stage,1,Group 4,Normal Time,False,False,False,False,Italy,Belgium,4,1,Win,False
94,1954,Switzerland,1954-06-23,Group Stage,1,,Normal Time,False,False,False,False,Italy,Switzerland,1,4,Loss,False
94,1954,Switzerland,1954-06-23,Group Stage,1,,Normal Time,False,False,False,False,Switzerland,Italy,4,1,Win,False
95,1954,Switzerland,1954-06-26,Quarter-final,4,,Normal Time,False,False,False,False,Austria,Switzerland,7,5,Win,False
95,1954,Switzerland,1954-06-26,Quarter-final,4,,Normal Time,False,False,False,False,Switzerland,Austria,5,7,Loss,False
96,1954,Switzerland,1954-06-26,Quarter-final,4,,Normal Time,False,False,False,False,England,Uruguay,2,4,Loss,False
96,1954,Switzerland,1954-06-26,Quarter-final,4,,Normal Time,False,False,False,False,Uruguay,England,4,2,Win,False
97,1954,Switzerland,1954-06-27,Quarter-final,4,,Normal Time,False,False,False,False,West Germany,Yugoslavia,2,0,Win,True
97,1954,Switzerland,1954-06-27,Quarter-final,4,,Normal Time,False,False,False,False,Yugoslavia,West Germany,0,2,Loss,True
98,1954,Switzerland,1954-06-27,Quarter-final,4,,Normal Time,False,False,False,False,Brazil,Hungary,2,4,Loss,False
98,1954,Switzerland,1954-06-27,Quarter-final,4,,Normal Time,False,False,False,False,Hungary,Brazil,4,2,Win,False
99,1954,Switzerland,1954-06-30,Semi-final,5,,Normal Time,False,False,False,False,Austria,West Germany,1,6,Loss,False
99,1954,Switzerland,1954-06-30,Semi-final,5,,Normal Time,False,False,False,False,West Germany,Austria,6,1,Win,True
100,1954,Switzerland,1954-06-30,Semi-final,5,,Extra Time,False,True,False,False,Hungary,Uruguay,2,2,Win,False
100,1954,Switzerland,1954-06-30,Semi-final,5,,Extra Time,False,True,False,False,Uruguay,Hungary,2,2,Loss,False
101,1954,Switzerland,1954-07-03,Third-place match,6,,Normal Time,False,False,False,False,Austria,Uruguay,3,1,Win,False
101,1954,Switzerland,1954-07-03,Third-place match,6,,Normal Time,False,False,False,False,Uruguay,Austria,1,3,Loss,False
102,1954,Switzerland,1954-07-04,Final,7,,Normal Time,False,False,False,False,Hungary,West Germany,2,3,Loss,False
102,1954,Switzerland,1954-07-04,Final,7,,Normal Time,False,False,False,False,West Germany,Hungary,3,2,Win,True
103,1958,Sweden,1958-06-08,Group Stage,1,Group 1,Normal Time,False,False,False,False,Argentina,West Germany,1,3,Loss,False
103,1958,Sweden,1958-06-08,Group Stage,1,Group 1,Normal Time,False,False,False,False,West Germany,Argentina,3,1,Win,True
104,1958,Sweden,1958-06-08,Group Stage,1,Group 1,Normal Time,False,False,False,False,Czechoslovakia,Northern Ireland,0,1,Loss,True
104,1958,Sweden,1958-06-08,Group Stage,1,Group 1,Normal Time,False,False,False,False,Northern Ireland,Czechoslovakia,1,0,Win,False
105,1958,Sweden,1958-06-11,Group Stage,1,Group 1,Normal Time,False,False,False,False,Argentina,Northern Ireland,3,1,Win,False
105,1958,Sweden,1958-06-11,Group Stage,1,Group 1,Normal Time,False,False,False,False,Northern Ireland,Argentina,1,3,Loss,False
106,1958,Sweden,1958-06-11,Group Stage,1,Group 1,Draw,False,False,False,False,Czechoslovakia,West Germany,2,2,Draw,True
